exp	treat	even	puncta					
1	01 wt	2	98					
1	02 wt	43	57					
1	03 wt	45	55					
1	04 wt	12	88					
1	05 12E	22	78					
1	06 12E	67	33					
1	07 12E	78	22					
1	08 12E	19	81					
1	09 E710A/D714A	0	100					
1	10 E710A/D714A	36	64					
1	11 E710A/D714A	17	83					
1	12 E710A/D714A	0	100					
2	01 wt	14	86					
2	02 wt	37	63					
2	03 wt	29	71					
2	04 wt	5	95					
2	05 12E	17	83					
2	06 12E	63	37					
2	07 12E	57	43					
2	08 12E	6	94					
2	09 E710A/D714A	5	95					
2	10 E710A/D714A	32	68					
2	11 E710A/D714A	14	86					
2	12 E710A/D714A	1	99					
3	01 wt	21	79					
3	02 wt	13	87					
3	03 wt	13	87					
3	04 wt	2	98					
3	05 12E	41	59					
3	06 12E	23	77					
3	07 12E	38	62					
3	08 12E	5	95					
3	09 E710A/D714A	5	95					
3	10 E710A/D714A	9	91					
3	11 E710A/D714A	2	98					
3	12 E710A/D714A	0	100					
4	01 wt	19	81					
4	02 wt	10	90					
4	03 wt	6	94					
4	04 wt	2	98					
4	05 12E	32	68					
4	06 12E	23	77					
4	07 12E	46	54					
4	08 12E	2	98					
4	09 E710A/D714A	2	98					
4	10 E710A/D714A	4	96					
4	11 E710A/D714A	4	96					
4	12 E710A/D714A	0	100					
